game_id,datetime,home,away,home_score,away_score,game_type,venue,npb_game_category,npb_type_confidence,npb_training_default,npb_evaluation_default,home_starter,away_starter,home_lineup_json,away_lineup_json,home_pregame_starter,away_pregame_starter,home_pregame_lineup_json,away_pregame_lineup_json,player_rows_count,enrichment_mode,prediction_time_utc,starter_available_at,starter_state,starter_source,home_lineup_available_at,away_lineup_available_at,home_lineup_state,away_lineup_state,lineup_available_at,lineup_state,lineup_source,home_starter_era,home_starter_whip,home_starter_k9,home_starter_bb9,home_starter_hr9,home_starter_fip,home_starter_ip,home_starter_er,home_starter_h,home_starter_hr,home_starter_bb,home_starter_so,home_starter_pitches,home_starter_k_rate,home_starter_bb_rate,away_starter_era,away_starter_whip,away_starter_k9,away_starter_bb9,away_starter_hr9,away_starter_fip,away_starter_ip,away_starter_er,away_starter_h,away_starter_hr,away_starter_bb,away_starter_so,away_starter_pitches,away_starter_k_rate,away_starter_bb_rate,home_starter_line_ok,away_starter_line_ok,pregame_context_quality,pregame_starter_verified,pregame_lineup_verified
2021029802,2025-09-07 18:00:00,埼玉西武ライオンズ,千葉ロッテマリーンズ,2.0,4.0,UNKNOWN,ベルーナドーム,excluded,high,False,False,1800052,2117734,[],[],,,,,0,light,2025-09-07T09:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,2.25,1.125,2.25,0.0,1.125,4.325,8.0,2.0,9.0,1.0,0.0,2.0,,,,7.7142857142857135,1.9285714285714284,9.642857142857142,3.8571428571428568,1.9285714285714284,5.128571428571428,4.666666666666667,4.0,7.0,1.0,2.0,5.0,,,,True,True,UNKNOWN,False,False
2021029805,2025-09-09 18:00:00,読売ジャイアンツ,広島東洋カープ,6.0,4.0,UNKNOWN,東京ドーム,unknown,low,False,False,1600123,1800028,[],[],,,,,0,light,2025-09-09T09:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,7.714285714285714,1.1428571428571428,5.142857142857143,0.0,1.2857142857142858,3.9142857142857146,7.0,6.0,8.0,1.0,0.0,4.0,,,,5.4,2.0,14.4,3.6,1.8,3.8,5.0,3.0,8.0,1.0,2.0,8.0,,,,True,True,UNKNOWN,False,False
2021029806,2025-09-09 18:00:00,東京ヤクルトスワローズ,中日ドラゴンズ,3.0,2.0,UNKNOWN,明治神宮野球場,excluded,high,False,False,2000050,1900024,[],[],,,,,0,light,2025-09-09T09:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,0.0,0.6666666666666666,9.0,0.0,0.0,1.2000000000000002,3.0,0.0,2.0,0.0,0.0,3.0,,,,3.6,2.0,10.8,9.0,0.0,3.8,5.0,2.0,5.0,0.0,5.0,6.0,,,,True,True,UNKNOWN,False,False
2021029807,2025-09-09 18:00:00,阪神タイガース,横浜DeNAベイスターズ,0.0,3.0,UNKNOWN,阪神甲子園球場,unknown,low,False,False,1961374,2000055,[],[],,,,,0,light,2025-09-09T09:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,0.0,0.4285714285714285,9.0,0.0,0.0,1.2000000000000002,7.0,0.0,3.0,0.0,0.0,7.0,,,,3.857142857142857,0.7142857142857143,9.0,1.2857142857142858,0.0,1.6285714285714288,7.0,3.0,4.0,0.0,1.0,7.0,,,,True,True,UNKNOWN,False,False
2021029808,2025-09-09 18:00:00,北海道日本ハムファイターズ,福岡ソフトバンクホークス,7.0,4.0,UNKNOWN,エスコンフィールドHOKKAIDO,unknown,low,False,False,1700011,2000079,[],[],,,,,0,light,2025-09-09T09:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,11.117647058823527,1.9411764705882355,9.529411764705882,4.764705882352941,4.764705882352941,9.552941176470588,5.666666666666667,7.0,8.0,3.0,3.0,6.0,,,,3.857142857142857,0.8571428571428571,9.0,0.0,0.0,1.2000000000000002,7.0,3.0,6.0,0.0,0.0,7.0,,,,True,True,UNKNOWN,False,False
2021029809,2025-09-09 18:00:00,東北楽天ゴールデンイーグルス,埼玉西武ライオンズ,6.0,5.0,UNKNOWN,楽天モバイルパーク宮城,unknown,low,False,False,1600127,700065,[],[],,,,,0,light,2025-09-09T09:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,13.5,4.0,13.5,9.0,0.0,3.2,2.0,3.0,6.0,0.0,2.0,3.0,,,,6.75,1.5,1.6875,0.0,1.6875,5.2625,5.333333333333333,4.0,8.0,1.0,0.0,1.0,,,,True,True,UNKNOWN,False,False
2021029810,2025-09-09 18:00:00,千葉ロッテマリーンズ,オリックス・バファローズ,3.0,7.0,UNKNOWN,ZOZOマリンスタジアム,unknown,low,False,False,1900087,1300080,[],[],,,,,0,light,2025-09-09T09:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,3.5217391304347823,1.1739130434782608,10.565217391304348,1.1739130434782608,1.1739130434782608,2.939130434782609,7.666666666666667,3.0,8.0,1.0,1.0,9.0,,,,3.0,1.3333333333333333,1.5,3.0,1.5,6.033333333333333,6.0,2.0,6.0,1.0,2.0,1.0,,,,True,True,UNKNOWN,False,False
2021029811,2025-09-10 18:00:00,読売ジャイアンツ,広島東洋カープ,4.0,3.0,UNKNOWN,東京ドーム,unknown,low,False,False,1300057,1450977,[],[],,,,,0,light,2025-09-10T09:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,4.5,1.1666666666666667,3.0,0.0,3.0,6.866666666666667,6.0,3.0,7.0,2.0,0.0,2.0,,,,5.4,1.4,7.2,1.8,1.8,4.800000000000001,5.0,3.0,6.0,1.0,1.0,4.0,,,,True,True,UNKNOWN,False,False
2021029812,2025-09-10 18:00:00,東京ヤクルトスワローズ,中日ドラゴンズ,3.0,6.0,UNKNOWN,明治神宮野球場,unknown,low,False,False,2108462,1961468,[],[],,,,,0,light,2025-09-10T09:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,3.0,0.8333333333333334,7.5,0.0,1.5,3.7,6.0,2.0,5.0,1.0,0.0,5.0,,,,9.0,2.25,2.25,6.75,2.25,8.2,4.0,4.0,6.0,1.0,3.0,1.0,,,,True,True,UNKNOWN,False,False
2021029813,2025-09-10 18:00:00,阪神タイガース,横浜DeNAベイスターズ,1.0,6.0,UNKNOWN,阪神甲子園球場,unknown,low,False,False,1700058,2000052,[],[],,,,,0,light,2025-09-10T09:00:00+00:00,,UNKNOWN,,,,UNKNOWN,UNKNOWN,,UNKNOWN,,1.8,1.4,12.6,1.8,0.0,1.0,5.0,1.0,6.0,0.0,1.0,7.0,,,,8.526315789473685,1.105263157894737,7.105263157894737,2.8421052631578947,2.8421052631578947,6.673684210526316,6.333333333333333,6.0,5.0,2.0,2.0,5.0,,,,True,True,UNKNOWN,False,False
