datetime,weather_temp_c,weather_humidity_pct,weather_precip_mm,weather_wind_kmh,venue,weather_valid_time_utc,weather_available_at,weather_state,weather_source,weather_pit_quality
2019-03-02 21:00:00,9.8,48,0.0,5.6,東京ドーム,2019-03-02 12:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-02 22:00:00,8.3,49,0.0,2.6,東京ドーム,2019-03-02 13:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-02 23:00:00,7.5,40,0.0,3.5,東京ドーム,2019-03-02 14:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-03 00:00:00,7.0,41,0.0,4.0,東京ドーム,2019-03-02 15:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-03 01:00:00,6.6,48,0.0,4.0,東京ドーム,2019-03-02 16:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-03 02:00:00,6.2,50,0.0,3.6,東京ドーム,2019-03-02 17:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-03 03:00:00,5.6,44,0.0,5.6,東京ドーム,2019-03-02 18:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-03 04:00:00,5.0,44,0.0,4.7,東京ドーム,2019-03-02 19:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-03 05:00:00,4.8,44,0.0,5.4,東京ドーム,2019-03-02 20:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-03 06:00:00,4.8,42,0.0,5.5,東京ドーム,2019-03-02 21:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-03 07:00:00,5.0,40,0.0,4.2,東京ドーム,2019-03-02 22:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-03 08:00:00,5.1,43,0.1,5.2,東京ドーム,2019-03-02 23:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-03 09:00:00,4.9,50,1.0,7.3,東京ドーム,2019-03-03 00:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-03 10:00:00,4.4,66,1.0,7.5,東京ドーム,2019-03-03 01:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-03 11:00:00,4.8,75,1.1,6.9,東京ドーム,2019-03-03 02:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-03 12:00:00,5.2,81,1.1,7.3,東京ドーム,2019-03-03 03:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-03 13:00:00,5.8,83,0.5,6.6,東京ドーム,2019-03-03 04:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-03 14:00:00,6.1,85,0.3,5.7,東京ドーム,2019-03-03 05:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-03 15:00:00,6.7,75,0.3,8.7,東京ドーム,2019-03-03 06:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-03 16:00:00,6.5,81,0.1,8.4,東京ドーム,2019-03-03 07:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-03 17:00:00,6.2,85,0.0,8.1,東京ドーム,2019-03-03 08:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-03 18:00:00,5.9,89,0.1,8.5,東京ドーム,2019-03-03 09:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-03 19:00:00,5.9,91,0.1,9.2,東京ドーム,2019-03-03 10:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-03 20:00:00,5.9,92,0.1,9.1,東京ドーム,2019-03-03 11:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-03 21:00:00,5.9,87,0.1,10.0,東京ドーム,2019-03-03 12:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-03 22:00:00,5.6,88,0.6,8.9,東京ドーム,2019-03-03 13:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-03 23:00:00,5.7,90,0.6,9.3,東京ドーム,2019-03-03 14:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-04 00:00:00,5.7,92,0.7,10.1,東京ドーム,2019-03-03 15:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-04 01:00:00,5.9,93,0.6,10.0,東京ドーム,2019-03-03 16:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-04 02:00:00,6.1,94,0.8,10.2,東京ドーム,2019-03-03 17:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-04 03:00:00,6.5,88,1.1,12.4,東京ドーム,2019-03-03 18:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-04 04:00:00,6.5,91,2.2,10.4,東京ドーム,2019-03-03 19:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-04 05:00:00,6.7,93,1.3,10.6,東京ドーム,2019-03-03 20:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-04 06:00:00,7.0,93,0.9,11.4,東京ドーム,2019-03-03 21:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-04 07:00:00,7.3,93,1.0,11.4,東京ドーム,2019-03-03 22:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-04 08:00:00,7.8,91,0.7,11.6,東京ドーム,2019-03-03 23:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-04 09:00:00,8.0,88,1.1,13.0,東京ドーム,2019-03-04 00:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-04 10:00:00,8.4,86,1.4,11.4,東京ドーム,2019-03-04 01:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-04 11:00:00,8.8,85,1.0,10.5,東京ドーム,2019-03-04 02:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-04 12:00:00,9.1,84,1.6,10.7,東京ドーム,2019-03-04 03:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-04 13:00:00,9.4,84,0.6,10.0,東京ドーム,2019-03-04 04:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
2019-03-04 14:00:00,9.3,85,0.6,9.3,東京ドーム,2019-03-04 05:00:00+00:00,,UNKNOWN,Open-Meteo Historical Forecast,FAIL_CLOSED_NO_ISSUANCE_TIMESTAMP
